teff ,  CaFe ,  sigmaCaFe 
  4410 , -1.20 ,      -1.92 
  4703 , -1.20 ,      -2.47 
  4790 , -1.20 ,      -2.47 
  4806 , -1.20 ,      -2.47 
  4861 , -0.70 ,      -2.28 
  4991 , -1.10 ,      -2.37 
  5000 , -1.20 ,      -2.28 
  5010 , -1.20 ,      -2.79 
  5061 , -1.10 ,      -2.05 
  5102 , -0.30 ,      -1.12 
  5160 , -1.10 ,      -2.14 
  5172 , -1.10 ,      -2.96 
  5176 , -1.20 ,      -2.47 
  5177 , -1.10 ,      -2.24 
  5187 , -0.60 ,      -1.57 
  5221 , -1.20 ,      -2.37 
  5252 , -1.20 ,      -2.62 
  5261 , -1.00 ,      -2.73 
  5305 , -1.50 ,      -3.48 
  5320 , -1.00 ,      -2.97 
  5344 , -1.00 ,      -2.49 
  5376 , -1.20 ,      -2.73 
  5437 , -1.00 ,      -2.33 
  5463 , -1.20 ,      -2.73 
  5470 , -0.50 ,      -1.34 
  5479 , -1.00 ,      -2.33 
  5497 , -0.30 ,      -1.12 
  5497 , -0.30 ,      -1.12 
  5500 , -1.20 ,      -2.37 
  5515 , -1.20 ,      -2.37 
  5519 , -1.20 ,      -2.47 
  5524 , -1.10 ,      -2.05 
  5525 , -1.20 ,      -2.55 
  5560 , -1.15 ,      -3.77 
  5566 , -1.20 ,      -2.62 
  5585 , -1.40 ,      -3.65 
  5588 , -1.20 ,      -2.47 
  5592 , -1.40 ,      -3.25 
  5605 , -1.20 ,      -2.28 
  5631 , -1.40 ,      -3.41 
  5636 , -1.10 ,      -2.32 
  5640 , -0.70 ,      -1.80 
  5664 , -1.20 ,      -2.62 
  5679 , -0.90 ,      -2.74 
  5682 , -1.10 ,      -2.14 
  5699 , -1.20 ,      -2.82 
  5728 , -1.10 ,      -3.20 
  5778 , -1.10 ,      -2.24 
  5779 , -1.10 ,      -2.56 
  5783 , -0.20 ,      -0.65 
  5797 , -1.20 ,      -3.19 
  5813 , -1.10 ,      -2.24 
  5828 , -1.10 ,      -2.05 
  5842 , -1.10 ,      -2.27 
  5843 , -1.20 ,      -2.73 
  5890 , -1.10 ,      -2.14 
  5920 , -2.45 ,      -6.76 
  5931 , -0.90 ,      -2.39 
  5950 , -1.10 ,      -3.65 
  5966 , -1.20 ,      -2.73 
  5974 , -1.50 ,      -3.88 
  5974 , -1.50 ,      -3.88 
  6000 , -1.20 ,      -3.43 
  6000 , -1.10 ,      -2.05 
  6000 , -1.30 ,      -4.12 
  6003 , -1.50 ,      -3.88 
  6010 , -1.20 ,      -2.47 
  6012 , -0.90 ,      -2.26 
  6013 , -1.10 ,      -2.85 
  6014 , -1.60 ,      -4.11 
  6022 , -0.90 ,      -2.50 
  6023 , -0.90 ,      -2.50 
  6023 , -0.90 ,      -2.50 
  6024 , -1.10 ,      -2.96 
  6029 , -0.90 ,      -3.19 
  6030 , -1.40 ,      -3.65 
  6042 , -1.00 ,      -3.42 
  6046 , -0.50 ,      -1.17 
  6048 , -1.10 ,      -2.32 
  6049 , -1.20 ,      -2.47 
  6050 , -1.00 ,      -2.73 
  6062 , -1.20 ,      -3.19 
  6067 , -1.10 ,      -2.72 
  6068 , -0.90 ,      -2.74 
  6069 , -1.70 ,      -5.04 
  6069 , -1.70 ,      -5.04 
  6072 , -0.80 ,      -2.51 
  6074 , -0.70 ,      -2.04 
  6085 , -1.10 ,      -2.56 
  6089 , -1.20 ,      -2.28 
  6090 , -1.20 ,      -2.37 
  6104 , -1.40 ,      -3.89 
  6105 , -1.10 ,      -2.56 
  6115 , -1.10 ,      -2.32 
  6117 , -1.40 ,      -3.54 
  6130 , -1.20 ,      -3.43 
  6132 , -1.20 ,      -2.37 
  6147 , -1.00 ,      -2.33 
  6151 , -1.50 ,      -3.64 
  6165 , -1.30 ,      -2.61 
  6172 , -1.00 ,      -3.42 
  6173 , -0.90 ,      -2.50 
  6197 , -1.20 ,      -2.79 
  6201 , -1.10 ,      -2.27 
  6203 , -0.90 ,      -2.74 
  6206 , -1.10 ,      -2.50 
  6209 , -1.30 ,      -4.12 
  6213 , -1.20 ,      -2.62 
  6224 , -0.90 ,      -1.81 
  6228 , -1.40 ,      -3.65 
  6245 , -1.20 ,      -3.89 
  6245 , -1.20 ,      -3.89 
  6246 , -1.40 ,      -3.41 
  6250 , -0.60 ,      -1.40 
  6250 , -1.00 ,      -2.73 
  6269 , -1.40 ,      -3.25 
  6269 , -1.20 ,      -3.43 
  6284 , -1.00 ,      -2.73 
  6284 , -0.40 ,      -1.58 
  6300 , -1.30 ,      -3.42 
  6310 , -1.30 ,      -3.02 
  6320 , -1.10 ,      -2.27 
  6321 , -1.50 ,      -3.88 
  6331 , -1.30 ,      -3.42 
  6337 , -1.60 ,      -3.71 
  6339 , -0.80 ,      -2.27 
  6344 , -1.20 ,      -3.89 
  6344 , -1.20 ,      -2.73 
  6363 , -0.60 ,      -1.57 
  6417 , -1.60 ,      -4.11 
  6421 , -1.10 ,      -2.85 
  6424 , -1.20 ,      -3.89 
  6452 , -0.60 ,      -1.81 
  6466 , -1.20 ,      -3.19 
  6481 , -0.80 ,      -1.87 
  6491 , -1.10 ,      -3.20 
  6500 , -1.20 ,      -2.79 
  6500 , -0.70 ,      -1.80 
  6514 , -1.20 ,      -3.19 
  6515 , -1.10 ,      -2.39 
  6517 , -1.20 ,      -3.43 
  6520 , -1.30 ,      -3.42 
  6548 , -1.20 ,      -2.28 
  6552 , -1.50 ,      -3.64 
  6556 , -1.20 ,      -3.19 
  6574 , -0.60 ,      -2.05 
  6601 , -1.20 ,      -3.19 
  6607 , -1.10 ,      -2.24 
  6609 , -1.40 ,      -3.65 
  6612 , -1.10 ,      -2.96 
  6624 , -1.20 ,      -3.19 
  6630 , -1.20 ,      -2.50 
  6654 , -1.20 ,      -2.62 
  6660 , -1.00 ,      -2.97 
  6676 , -1.20 ,      -3.19 
  6677 , -1.00 ,      -3.42 
  6696 , -1.20 ,      -3.19 
  6706 , -0.90 ,      -2.26 
  6715 , -1.10 ,      -2.72 
  6746 , -1.60 ,      -3.71 
  6753 , -1.10 ,      -2.56 
  6760 , -1.10 ,      -2.32 
  6772 , -1.10 ,      -2.96 
  6773 , -0.90 ,      -2.74 
  6794 , -1.60 ,      -4.11 
  6806 , -1.20 ,      -2.82 
  6847 , -0.80 ,      -2.96 
  6891 , -1.20 ,      -2.55 
  6895 , -1.20 ,      -2.62 
  6903 , -1.50 ,      -4.58 
  6953 , -0.90 ,      -2.50 
  6955 , -1.00 ,      -2.49 
  6966 , -1.30 ,      -3.02 
  6986 , -1.10 ,      -2.96 
  6994 , -1.20 ,      -3.89 
  7010 , -0.80 ,      -2.96 
  7017 , -0.90 ,      -2.10 
  7035 , -1.10 ,      -2.96 
  7055 , -1.20 ,      -3.89 
  7061 , -1.20 ,      -3.19 
  7075 , -1.00 ,      -3.42 
  7173 , -1.30 ,      -3.66 
  7173 , -0.70 ,      -2.28 
  7181 , -1.20 ,      -2.28 
  7200 , -1.20 ,      -2.95 
  7229 , -1.20 ,      -3.89 
  7263 , -1.00 ,      -2.73 
  7280 , -0.90 ,      -2.04 
  7304 , -1.20 ,      -3.19 
  7356 , -1.20 ,      -2.79 
  7417 , -1.20 ,      -2.47 
  7464 , -1.20 ,      -2.79 
  7478 , -1.20 ,      -2.79 
  7478 , -1.30 ,      -3.42 
  7540 , -1.10 ,      -2.96 
  7627 , -1.20 ,      -3.89  
  7642 , -1.10 ,      -2.56 
  7662 , -1.30 ,      -3.66 
  7692 , -1.20 ,      -2.95 
  7728 , -1.20 ,      -3.19 
  7829 , -0.80 ,      -2.27 
  7840 , -1.40 ,      -3.89 
  7996 , -0.50 ,      -2.27 
  8053 , -0.90 ,      -2.26 
  8413 , -1.40 ,      -4.35 
  8843 , -0.90 ,      -3.19 
  9600 , -1.00 ,      -3.42 
  9850 , -1.20 ,      -3.43 
 10057 , -0.59 ,      -2.48 
 10120 , -0.50 ,      -2.27 
 10800 , -0.64 ,      -3.21 
 11640 , -1.60 ,      -4.81 
 11787 , -1.24 ,      -4.13 
 11800 , -0.68 ,      -2.59 
 13000 , -0.63 ,      -2.33 
 13594 , -0.43 ,      -1.61 
 13735 , -1.04 ,      -1.77 
 13950 , -1.25 ,      -3.79 
 14400 , -0.82 ,      -2.63 
 14490 , -1.11 ,      -3.48 
 14500 , -1.39 ,      -3.63 
 14752 , -0.94 ,      -3.21 
 14756 , -0.33 ,      -2.03 
 15300 , -0.48 ,      -1.68 
 15620 , -1.19 ,      -2.08 
 16560 , -0.62 ,      -2.63 
 17280 , -0.30 ,      -2.24 
 17970 , -0.50 ,      -1.82 
 18320 ,  0.19 ,       0.25 
 19226 , -0.95 ,      -2.37 
 19780 , -1.35 ,      -3.77 
 20800 , -0.78 ,      -2.51 
 20900 , -0.74 ,      -1.89 
 21457 ,  4.50 ,       9.99 
 22412 ,  4.60 ,       9.82 
